,News
247,"DMK president M.K. Stalin on Thursday questioned the basis for Prime Minister Narendra Modi to praise Tamil Nadu’s efforts at combating COVID-19 and said that perhaps a discrete assessment by the Intelligence Bureau would bring out the ground reality.
In a statement issued here, he said Mr. Modi, who on Wednesday praised Chief Minister Edappadi K. Palaniswami for his handling of the pandemic, might get to know the truth about the State’s efforts and “the various scams in the procurement of medical equipment” if he conducted a discrete assessment by the Intelligence Bureau.
People’s welfare
“I hope the Prime Minister is really interested in the welfare of the people of Tamil Nadu. If that is the case, he should take a broad view of the issue, instead of looking at it through the prism of the BJP’s alliance with the AIADMK, and see the truth for what it is — the State government’s massive failure in handling the pandemic, the doldrums the State’s economy is in, the unemployment in the State, the dissatisfaction of the middle class with the AIADMK government, the State’s fiscal deficit and the maladministration in the government, among other issues,” Mr. Stalin said.
The Leader of the Opposition said he wondered what the Chief Minister had done that warranted a certificate of appreciation from Mr. Modi.
Listing statistics related to the pandemic and the deaths it had caused, Mr. Stalin said he wondered if the Chief Minister had given Mr. Modi the right information.
“Just like how the BJP government at the Centre is a ‘no-data’ government, the Tamil Nadu government is either a ‘no-data’ government or a government that hides the real numbers. Afraid of disclosing the real number of COVID-19 deaths, the State government is providing false data and is hiding the truth from the people,” he said."
248,"A report prepared by the State Performance Audit Officer on the delay in constructing a 12-storey housing tower at Thuruthy in West Kochi for landless beneficiaries in the area, holds the Mayor, Additional Secretary, and the Superintending Engineer of the Kochi Corporation accountable for having violated rules and returned the security deposit to the contractor before completion of work."
249,"Following the COVID-19 outbreak, I stocked up on sanitisers, N95 masks, and stayed at home during the lockdown. Yet, I somehow managed to contract the virus.
Thanks to my paranoia, I visited the hospital the minute I developed a cough and a temperature. But not even when I was advised to take the dreaded RT-PCR test did I fear the worst; after all, I had followed all the precautions to a tee.
Also read | Recovery from COVID-19 can be a struggle
Unfortunately, when the results came, I suddenly found myself in a hospital bed, which was to be my home for the next 15 days. The only contact I had with the outside world was with healthcare workers in personal protective equipment who attached an IV drip to my left hand and communicated with me in sign language.
I was riddled with anxiety about my family who now had to get checked. I heaved a huge sigh of relief when I received the news of their negative results a couple of days later.
The symptoms of COVID-19 hit me hard. I experienced intense fatigue; it felt like a freight train had hit me. I had frequent headaches that were like “thunderclaps inside the brain”, as The New York Times aptly described them. I had lung inflammation despite not being a smoker, and a persistent cough.
It is important to understand that unlike most diseases, recovering from COVID-19 is not a linear process. There were days when I woke up feeling perfectly normal, but within a few hours, I would be overcome by breathlessness and in need of an oxygen mask. I took 30 tablets a day, multiple blood tests, X-rays, CT scans, and lots of intravenous fluids.
Also read | Recovered COVID-19 patients facing difficulties
However, it isn’t so much the physical symptoms as the the isolation which gets to you. With nobody allowed to visit and with no one to talk to (even doctors communicated only via video calls), the experience of being stuck in a room all alone was overwhelming.
After two weeks, the doctors felt I was stable enough to leave (though I still hadn’t tested negative). Since then, I have been in home quarantine, picking up plates of food that my parents leave outside my bedroom door, and checking my blood oxygen levels on the pulse oximeter. A few days earlier, despite my symptoms reducing drastically, I still tested positive, which only shows that recovery can be a slow and frustrating journey.
However, I have to say I am privileged and lucky: I got tested and got access to a hospital bed immediately after exhibiting symptoms, I have a comfortable room at home with family to help, and a job that allows me to work from home. Since I am a film correspondent, I get paid to review and keep track of all the movies and shows online. Watching episodes of Friends and The Office on Netflix as well as Vadivelu comedy scenes on YouTube was a great distraction for me during my time in hospital. I also recited lists of my favourite movies and football clubs every time the anxiety got too severe. Meanwhile, thousands of fellow journalists continue to brave the pandemic on a daily basis, reporting and going to office.
Every case of COVID-19 is unique. I read about a teenager who tested positive four times in a row, and a 90-year-old who have fought the virus in just a week. The virus doesn’t always follow a pattern. I still don’t know how I got infected, but my only advice would be this: stay at home as much as possible."
250,"The Madras High Court on Thursday stayed all further proceedings pursuant to fresh show cause notices issued to DMK president M.K. Stalin and 17 other MLAs of his party on September 7 for having allegedly breached the privileges of the Legislative Assembly by displaying gutkha (chewing tobacco) sachets there on July 19, 2017.
Justice Pushpa Sathyanarayana held that the petitioners had made out a prima facie case for grant of interim relief and the balance of convenience was also in their favour.
She further ordered notice to the Speaker on the petitioners’ main plea to quash the showcause notices on grounds of perversity, illegality, mala fides and lack of jurisdiction.
The judge agreed with senior counsel R. Shunmugasundaram, N.R. Elango and Amit Anand Tiwari that Chief Justice Amreshwar Pratap Sahi and Justice Senthilkumar Ramamoorthy had on August 25 given a specific finding that possession and display of gutkha sachets were neither prohibited under law nor amounted to breach of privilege.
Disposing of an earlier batch of writ petitions filed by the MLAs challenging the previous show cause notices issued to them on August 28, 2017, for the same act, the first Division Bench had said that gutkha could not be equated to substances like narcotic drugs or liquor bottles, whose possession, per se, would be illegal and, therefore, might amount to breach of privilege.
‘Poor enforcement’
The Bench also pointed out that the intention of the MLAs in displaying the gutkha sachets in the Assembly was not to promote the substance whose manufacture, transportation, storage, distribution and sale was banned in the State. They only intended to exhibit the poor enforcement of the ban and the free availability of the substance in bunk shops.
“The above judgment of the Division Bench is not challenged by the respondents [Speaker, Assembly Secretary, Committee of Privileges] herein; instead, they have thought it fit to issue fresh show cause notices based on liberty granted by the Bench to deliberate upon the issue if the committee was still of the opinion that any breach had been committed,” Justice Sathyanarayana said.
In their challenge to the fresh notices through the present batch of cases, the MLAs contended that Rule 222 (1) of the Tamil Nadu Legislative Assembly Rules clearly stated that an issue of breach of privilege should be restricted to a specific matter of recent occurrence. Hence, fresh notices could not be issued in September for an event that occurred in July 2017, they argued.
The petitioners also said Rule 228 prohibited a person from being a member of the Committee of Privileges if he/she had a personal or direct interest of such a character that it may prejudicially affect the proceedings. In the present case, they objected to the presence of Deputy Speaker Pollachi V. Jayaraman and Deputy Chief Minister O. Panneerselvam in the committee.
They pointed out that the Deputy Speaker had filed a defamation suit against Mr. Stalin in the High Court, claiming compensation of over ₹1 crore, and that all DMK MLAs had been opposing the continuance of Mr. Panneerselvam in the Cabinet, despite having voted against a confidence motion moved by Chief Minister Edappadi K. Palaniswami on February 18, 2017.
The presence of the Deputy Speaker and the Deputy Chief Minister in the present committee vitiated the entire proceedings, the petitioners said."
251,"One in every five persons in Puducherry district was infected with COVID-19 by August-end, the results of a Jipmer sero-survey have found.
The findings of the sero-survey, launched in two rounds in August and September, showed that between July-end and August, the antibody sero-prevalence showed a 4.2-fold increase.
This is in keeping with the 4.1-fold rise in the number of confirmed cases over the same period in Puducherry (from 2987 to 12,331), Jipmer said in a press note.
The first sero-survey had indicated that one in 20 persons in the district showed evidence of COVID-19 infection.
The second round data indicates that Puducherry had a high rate of transmission in August. Also, the prevalence of serological evidence with antibodies in the population is much higher than detected by RT-PCR as found at two time points; 19.6 (4.9/0.25) and 20.1 (20.7/1.03) fold respectively on July 30 and on August 30.
“Thus, by the end of August, nearly one-fifth of population in Puducherry had been infected with the Covid-19 infection,” the Jipmer release said.
According to the press note, two community-based serological surveys were conducted at intervals of four weeks in an attempt to find information on the extent of spread and trend of infection.
Blood samples were collected from randomly selected adults from 30 clusters in a ratio of 21 urban and 9 rural areas to replicate the population distribution in Puducherry. The two surveys were conducted during August 11-16 and September 10-16.
In the first round in August, 869 adults were tested and 43 (4.9%) had antibodies against SARS CoV-2 with a higher positivity in urban areas (5.7% versus 3.1%) and among women (6.3% versus 3.6%). The first round data reflects the cumulative proportion of Puducherry population infected as on July 30.
In the second round, of the 898 adults tested, 186 (20.7%) had antibodies against the SARS CoV-2 infection. In the second round, the positivity rate was similar in urban and rural population (20.7% versus 20.8%) and among men and women (21.4% versus 20%).
The second-round data reflects the cumulative proportion of Puducherry population which had been infected with COVID-19 as on August 30. The number of cases recorded in the district population on July 30 and August 30 respectively were 2,987 and 12,331 with incidence rates (population estimate for year 2020 is 12,00,000) of 0.25% and 1.03% respectively, the press note said."
252,"Justices M.M. Sundresh and R. Hemalatha of the Madras High Court on Thursday recused themselves from hearing a batch of cases related to the conduct of elections to the South Indian Artistes Association (SIAA), popularly known as Nadigar Sangam.
The judges directed the High Court Registry to list the case before some other Division Bench. The decision was taken after the warring groups refused to arrive at a consensus on either counting the votes of elections already held or to hold fresh elections.
The administration of Nadigar Sangam had turned murky after complaints were made by some members to the Registrar of Societies in 2019 that actors Vishal, Nasser and Karthi had no right to continue as office-bearers after the completion of their three-year tenure.
Immediately, the former office-bearers moved a writ petition in the High Court and obtained permission from Justice P.D. Audikesavalu to conduct the elections on June 23, 2019. However, the judge ordered that the votes should not be counted till the final disposal of the case. After taking it up for final hearing, Justice K. Kalyanasundaram set aside the election already held and ordered fresh elections. Aggrieved over such an order, the former office-bearers moved a writ appeal before the Division Bench.
When the appeal, along with a few other civil suits, were listed before the Bench led by Justice Sundresh, it directed the parties to attempt a compromise whereby both could agree either for counting the votes already cast or to hold fresh elections.
However, on Thursday, they reported back that no such compromise could be reached with the former office-bearers not agreeing for a fresh election and the other faction not willing to accept the counting of votes that were already cast."
253,"The aim is to bring down the State’s case fatality rate to less than 1%, Health Minister C. Vijayabaskar said.
During a media interaction after the inspection of a COVID-19 control room, the Minister said that efforts taken in the State had borne results. Tracking, tracing and testing the infected had helped bring down the positivity rate to 6.4%, he said.
According to him, the positivity rate had fallen to less than 10%. The Minister said that this was as per guidelines issued by the Indian Council of Medical Research. “Our aim is to bring down the positivity rate to 5%. The case fatality rate was initially at 1.6%, on average. We have managed to reduce it gradually to 1.4%, and this week, it has further come down to 1.2%,” he said.
“From an average of 129 persons losing their lives due to COVID-19 every day, we have reduced the number of people dying of the infection to less than 70. We want to bring down the case fatality rate to less than 1%,” he added.
Dr. Vijayabaskar attributed the improvement in recovery rate, now at 90.2%, to the focus on building medical infrastructure, besides the use of life-saving medicines and treatment modalities adopted by the State.
The State has, so far, spent ₹1,982.9 crore on COVID-19-related activities, including on treatment and the development of infrastructure, he said."
254,"The Kerala High Court has made applicable the government order on100% staff attendance to the High Court offices as well.
The High Court Registry withdrew its earlier order permitting its staff to work on turn basis and from home, and ordered that all the High Court staff shall attend the office on all working days adhering to COVID protocol."
255,"Tamil Nadu recorded 5,692 fresh cases of COVID-19 on Thursday, taking its tally to 5,63,691. As many as 5,470 persons were discharged from various health facilities after treatment. The number of those discharged has gone up to 5,08,210."
256,"Former contender for the Democratic nomination, U.S. Senator Bernie Sanders jointed a host of voices that expressed alarm at U.S. President Donald Trump’s refusal to commit to the peaceful transfer of power if he loses the November election. Mr. Sanders said Mr. Trump is to be taken seriously.
“What I am going to talk about is something that, in my wildest dreams, I never thought I would be discussing.  And that is the need to make certain that the President of the United States, if he loses this election, will abide by the will of the voters and leave office peacefully,” Mr. Sanders said during his speech ‘Saving American Democracy’ at George Washington University, here in Washington DC. Mr. Sanders remarks came a day after Mr. Trump, when questioned at a press briefing, would not commit to the peaceful transfer of power.
“I think it is terribly important that we actually listen to, and take seriously, what Donald Trump is saying,” Mr. Sanders said.
ALSO READ
Trump will accept results of free-and-fair presidential polls, says White House
 “This is not just an election between Donald Trump and Joe Biden. This is an election between Donald Trump and democracy – and democracy must win,” said Mr. Sanders, who is an independent senator from Vermont and was the candidate of choice for progressives.
“With less than 6 weeks left to go in this campaign it is my fervent hope that all Americans – Democrats, Republicans, independents, progressives, moderates, conservatives – come together to defend American democracy, our constitution and the rule of law. We must ensure, in this unprecedented moment in American history that this is an election that is free and fair…” Mr. Sanders said.
He called Mr. Trump a “pathological liar” with “strong authoritarian tendencies” and someone who is willing to undermine democracy to stay in power.
Mr. Trump has repeatedly floated conspiracy theories around vote by mail, claiming that Democrats are using it to commit voter fraud. Mr. Sanders cited several pieces of research – including from Republican and conservative sources – to demonstrate the very low incidence of voter fraud in the U.S.
Mr. Sanders listed a series of ways in which Mr. Trump, according to him, was trying to undermine the legitimacy of the elections.
“Trump has also urged his supporters to become, quote, ‘poll watchers,’ but what he is really saying is he wants his supporters, some of whom are members of armed militias, to intimidate voters,” Mr. Sanders said.
The senator described a hypothetical scenario in which Mr. Trump has a lead on the evening of November 3, but loses as postal ballots are counted. At which point – in Mr. Sanders’s example – Mr. Trump would say the postal ballots were invalid and claim victory.
“Furthermore, in states where Republicans control the legislature, it is possible that the election results will be ignored because of false accusations of voter fraud,” Mr. Sanders said, echoing another concern of Democrats.
One of the ways to counter these possibilities, Mr. Sanders said, was voter turnout (higher turnouts have traditionally benefitted Democrats).
“As someone who is strongly supporting Joe Biden, let’s be clear: A landslide victory for Biden will make it virtually impossible for Trump to deny the results and is our best means for defending democracy,” he said."
257,"The police on Thursday arrested a 33-year-old man for allegedly raping a 13-year-old schoolgirl and later driving her to end her life by blackmailing her.
When the Taramani police began investigating the suicide of the girl, they found a suspicious SMS on the phone of the victim’s mother from one Gunaseelan, 33, who had moved to Kallukuttai right after the girl’s death. The parents said Gunaseelan used to tutor the victim.
The police screened his mobile phone and recovered incriminating photos and videos. Gunaseelan fled but was nabbed by a special team near Valparai.
He confessed that he used the victim’s compromising pictures and asked her for sexual favours.
He said she killed herself after he threatened to release the photos and videos on the internet.
Gunaseelan was charged under the POCSO Act."
258,"The district reported 425 new COVID -19 cases and five deaths in the last 24 hours, according to a COVID-19 bulletin issued by the district administration on Thursday.
With the new cases, the total tally rose to 48,761 and the death toll has gone up to 380 in the district since the outbreak of the pandemic.
According to the officials, as many as 475 persons who were undergoing treatment in various hospitals, COVID-19 care centres, and under home isolation have recovered in the last 24 hours.
The bulletin also informed that the recovery rate in the district have crossed 90%.
As per the bulletin, the total number of discharges as of Thursday is 44,151, which is 90.5 % of the total cases.
Similarly, the active cases in the district came down to 4,230, which is just 8.67 %. The death rate is also less than 1%.
Special Officer for COVID-19 P.V. Sudhakar said that there are 54 very active clusters, 24 active clusters and 640 dormant clusters. A total of 192 clusters have been de-notified."
259,"Opposition strategy
Though the passage of the ‘farm Bills’ in Parliament raises certain questions on the working of democratic processes, especially under the present government, the onus lies on the Opposition to make a sincere effort to inform the stakeholders — through online platforms and other forms of media — about what it perceives to be the adverse impact of the Bills in the short, medium and long term. Vague allegations about the commercialisation of agriculture, akin to what happened under British colonial policy which forced the farmer to grow indigo, will not fetch the desired results. The Opposition cannot expect an Indigo revolt in the 21st century without adequate mobilisation through sustained, systematic communication lines and the grass-root level participation of farmers and social organisations.
Rohan Dixit,
New Delhi
Cartoon in The Hindu
It appears that top officials in the Food Corporation of India (FCI) have unnecessarily taken offence over the cartoon appearing in The Hindu (OpEd page, September 22), about the state of affairs in the FCI (‘Letters to the Editor’, September 24). The cartoon in question is open to multiple interpretations. To my mind, the cartoonist intended to convey a covert message through the cartoon with rats or rodents who appear to rattled by the farm Bills. The rodents represent not just the four-legged ones but presumably also the two-legged ones. While what the four-legged ones account for may be just pilferage, the loss by way of theft by the two-legged ones may run into millions of tons . The FCI may be well equipped to minimise the losses, but the same thing cannot be said about the two-legged ones as there may be a network actively involved in rackets whose ingenuity to outsmart any surveillance and detection is just fantastic. Moreover, in the backdrop, one sees an FCI signboard which has been scored out and written with a line that says ‘Private Warehouse’. One has to take into account the totality of the elements of a cartoon to make sense of it. Contrary to what the FCI letter claims about the high standards of storage and maintenance of FCI warehouses, reports of damage to foodgrains, pilferage and even thefts are not uncommon. A long time, a leading news daily even published a shocking story of what it called the ‘great grain robbery’, forcing the government on the backfoot. I do not claim to have decoded the cartoon in question but all I am suggesting is that the cartoon is not just about four-legged rodents. However, only the cartoonist should be able to clarify it. Perhaps the Readers’ Editor, The Hindu should ask the cartoonist to step in when there is a sharp criticism of his work.
M. Jameel Ahmed,
Mysuru
Narcotics and actors
It appears that the fabled Indian film industry in wrapped in the tentacles of the narcotics trade. But is what is happening only the tip of the iceberg, with only the small fish being caught in the NCB’s net? Are the crocodiles still lurking free? The time is ripe for start a huge clean up before the woods are reduced to ashes.
P.K. Varadarajan,
Chennai
Drug abuse and drug peddling should be dealt with seriously. Some Members of Parliament who were once film actors themselves should not be possessive or defensive about alleged drug use in Bollywood as they must remember that their days in the film industry were vastly different from what it is now. Many actors alleged to be involved with narcotics are also ‘role models’ and ‘ambassadors’. They too must realise the impact they will have on society and youth. The message must be clear —say no to drugs and drug abuse.
T. Kailash Ditya,
Hyderabad
It appears that the fabled Indian film industry in wrapped in the tentacles of the narcotics trade. But are the crocodiles still lurking free? The time is ripe for a huge clean-up before the woods are reduced to ashes.
P.K. Varadarajan,
Chennai
COVID-19 and after
With only a vaccine to our aid, we cannot breathe easy till mid-2023 — the year when we can start measuring the benefit of total pan-India vaccination, provided we work with super efficiency and focus. Our daily case counts will continue indefinitely even if we keep to the 10-lakh testing level. We are in the 1918 trap now, with no vaccine and no medicines. But unlike 1918, we have advanced medicinal chemistry. We need to rid society of fear, without which a revival is difficult.
M. Balakrishnan,
Bengaluru"
260,"The mystic, celestial snow lion, ‘Gang Seng Ge’ in local lore, derives its name from the Sanskrit Simha. It is the emblem of Tibet showcasing its eternally snow-covered mountains and glaciers, even as it symbolises power, strength, fearlessness and the joy of living. It is also the symbol and the flag of the intrepid, fearless warriors of the , which has figured so prominently in the recent clashes in eastern Ladakh."
261,"Health facilities are a place of healing and restoration. But can they be places of harm as well? The world over, one in 10 patients experiences or is subject to harm in health-care settings. These range from operations done on the wrong patient, to injections being administered in an unsafe manner. Studies in India have shown that more than two-thirds of injections are given in an unsafe manner; equally worrying is the fact that over two-thirds of injections in primary care are unnecessary in the first place.
Global focus
To highlight this important issue, the World Health Organization observes World Patient Safety Day every year (September 17). The theme for 2020 was ‘Health Worker Safety: A Priority for Patient Safety’ with a call to action to ‘Speak up for health worker safety!’ But one may wonder, why, on a day dedicated for patient safety, we should speak up for health worker safety? So, why is health worker safety important for patient safety?
Editorial | Protection for protectors: On safety of healthcare workers
Much harm done to patients in health-care settings is because of unsafe health-care practice and unsafe health-care communication. Unsafe health-care practice refers to unsafe or unnecessary procedures, wrong medications, medications given in a wrong dosage, etc. Unsafe health-care communication refers to mistakes made in health-care settings due to miscommunication between health professionals, for example, during patient handover in between staff shifts. The quality of both practice and communication is dependent on the safety and well-being of health workers. For example, numerous studies have shown that health workers, such as residents, who have been on duty for more than 24 hours at a stretch, have a higher risk of making mistakes, increasing the likelihood of a direct impact on patient safety.
COVID-19 and reporting cases
During the current COVID-19 crisis, health workers are not only putting in longer hours but also working under increasingly difficult circumstances, which affect both their physical and mental health. The mental health of health workers is linked to the workplace culture. Some organisations have a culture of supporting staff, responding to their needs and encouraging learning from mistakes; while others have a culture of fault-finding, blame, guilt and abuse. When instances of patient harm occur, whether people feel encouraged to report them, depends on the organisation’s culture and leadership.
Without reporting, it is difficult for organisations to learn from mistakes and create systems, such as check lists in order to prevent similar future occurrences. In addition, in India, it is not uncommon to find health-care organisations observe strict hierarchies between specialties, between designations, and between doctors and other health professionals, such as nurses. Such power differences can further prevent reporting and cooperative organisational learning and may, in fact, increase chances of abuse: verbal, physical, emotional and sexual, putting the safety of health workers and patients at risk.
Also read | In Chennai, doctor’s burial marred by protests, attacks
Looking at the organisation
Organisational learning is more important than individual learning. This is because instances of patient harm, even when they occur at the individual level, are often an end result of a chain of organisational failures.
For example, systemic under staffing, lack of reporting mechanisms, lack of dedicated time for hand overs, audits, training and team building, poorly maintained equipment and corruption in purchases, are all organisational failures that could result in a cascade leading to avoidable harm to the patient. Moreover, good systems can mitigate the effects of individual mistakes.
Thus, it is pertinent to look beyond the individual to look at the organisation as the sum of multiple elements that interact with each other. This involves taking a systems approach. What does that involve? Let us take the example of overcrowding. In many hospitals, quality of care is often compromised because of overcrowding, such as in the emergency department. To take a systems approach in this situation would mean looking at it holistically — for example, from at least three angles using the input-throughput-output conceptual model described by Asplin et al in the Annals of Emergency Medicine in 2003.
Editorial | Do no harm: on safety of health care workers
One, the input: looking at whether patients who come to the emergency department need to be there in the first place or could be managed somewhere else such as in the community itself. Two, the throughput: looking at whether there are inefficiencies such as shortage of doctors, nurses, equipment or space that is increasing the time taken for patients to be treated. And three, the output: looking at whether the patients are staying longer in the emergency department than required because of lack of non-emergency department inpatient beds, delays at the pharmacy or delays in transportation of patients out of the emergency department.
The conversation on health during COVID-19 has often centred on individuals, with certain individuals, such as health-care workers, seen as heroes, and others (including those referred to as ‘super spreaders’ in a stigmatising way), seen as villains. Many health workers have demonstrated excellence despite the limitations in the Indian health system. This is laudable but may not be sustainable. Creating sustainability would involve taking a systems approach to make sure all parts of the system, both of health care and of supportive social care are well functioning.
Also read | Why health care workers above 60 should be ‘benched’
Many health workers are overworked not by choice, but rather the lack of it since understaffing and shortages are a common feature of the Indian public health-care system. In addition, India simply does not have enough health facilities to cater to all its population, even without a pandemic. Further, the lack of adequate social care, such as care homes, community health services and community-based rehabilitative and palliative services, unduly increase the burden on health-care facilities.
Stakeholder involvement
Finally, a systems approach involves all stakeholders. Patients themselves need to be aware of patient safety as well as be empowered to demand safe health care and resist unnecessary medications and procedures. Hospital managers must understand the need for and be empowered to create systems of reporting, monitoring and organisational learning. Policy makers must prioritise staffing, co-designing functional and safe workplaces, and ethics in health care.
Also read | ASHA workers soldier on — unprotected and poorly paid
Numerous persons find healing and restoration in health care. But some are harmed as well. In crises such as COVID-19, quality of care can be compromised further. We can help improve patient safety by taking a systems approach and promoting a culture of health worker safety and well-being.
Dr. Harikeerthan Raghuram is a public health researcher and consultant. Dr. Anant Bhan is a researcher in global health, bioethics and health policy"
262,"The Kerala High Court on Friday directed the State government, the Director of Women and Child Development, the Director of Forensic Science Laboratory and the Kerala Public Service Commission (PSC) to make their stand clear on the appointment of scientific assistants in forensic labs in order to speed up trial in cases charged under Protection of Children from Sexual Offences (POCSO) Act.
Many such cases were pending due to the delay in obtaining forensic test results. The PSC should implement the Supreme Court order of September 9 in this regard, said a Division Bench comprising Chief Justice S. Manikumar and Justice Shaji P. Chaly.
The counsel for the PSC contended that there was a delay in conducting recruitment tests due to the COVID-19 situation. The court stated that appointment of scientific assistants in labs cannot be treated on par with tests for other posts. It directed the Additional Secretary (Home) to inform it of the steps taken in this regard.
The government informed the court that special prosecutors would be appointed in district level special courts soon. A total of 14 special prosecutors had been appointed in 17 new courts. The court reminded the government of its earlier ruling on imparting adequate training to new prosecutors."
263,"S.P. Balasubrahmanyam, who died in Chennai on Friday at the age of 74, rendered over 100 songs in Malayalam, and some of them topped the charts too.
But it wasn't those songs that endeared him to music fans here. It was rather his hits in Tamil that made him such a favourite, especially in live shows, across the towns and villages of Kerala.
It, in fact, would be no exaggeration to say that he, along with Ilaiyaraaja, the composer who worked with him most, played a big role in making Tamil songs popular with Malayalis.
Instant hit
Some of the Tamil songs of P. Susheela, who took no time to establish as the leading singer in Malayalam cinema, had attracted the Malayali ear much earlier, but it was with the rise of SPB that the interest grew rapidly.
Yes, A.R. Rahman and Roja made even more people in this part of the world discover Tamil film music in the early 1990s, but Ilaiyaraaja and SPB had already created a base.
Back in the '80s and '90s – when there was no YouTube to keep you entertained with endless streaming of music and that too on mobile phones – the live music shows, or ganamelas, used to be the biggest attractions of festivals at temples or churches.
Every troupe used to have a singer who specialised in singing SPB’s songs – often the foot-tapping ones – and if they didn't have, they would borrow someone from another troupe.
Then, in 1980, came Sankarabharanam. The unlikely box-office winner about classical music and dance saw SPB in a new light. His songs, like Sankara nadasareera para..., Omkara nadanu.., and Dorakuna ituvanti seva..., also introduced many a Malayali to Carnatic music.
In Malayalam
At a time when K.J. Yesudas and P. Jayachandran reigned supreme, music directors in Malayalam cinema rarely needed to look elsewhere for a male voice elsewhere. Still, SPB could boast a sizeable number of hits in Malayalam, too.
He had made a sparkling debut under the baton of G. Devarajan, the greatest composer in Malayalam, for the 1969 film Kadalpalam. Ee kadalum... was a fine song too, but it was overshadowed by the film's other songs Ujjayiniyile gaayika... (P. Leela) and the Kasthoori thailamittu... (Madhuri).
His popular songs in Malayalam include Tharapatham... (Anaswaram), Ootti pattanam... (Kilukkam), Kakkala Kannamma... (Yathramozhi) and Manje vaa.. (Thusharam)."
264,"The CBI has booked a former Joint Secretary of the Central Board of Secondary Education (CBSE) for facilitating recruitment of three persons on forged documents. The alleged beneficiaries have also been arraigned.
The accused have been identified as then Joint Secretary S.P. Rana, Assistant Secretaries Babita Rani and Shikha Tomar and Assistant Programmer Ruchin Tomar. In December 2019, the CBI instituted a preliminary inquiry into the allegations against them.
According to the CBI, Ms. Rani and Mr. Tomar – both from the Jat community – were recruited under the OBC category between 2012 and 2014, in violation of the rules. Mr. Rana also allegedly helped Ms. Tomar, the daughter-in-law of his brother, get the job in 2012 on the basis of fake experience certificate from a Gurugram-based company.
Dismissed from service
The FIR alleges that Mr. Rana, who was then holding the charge of Joint Secretary (Admin & Legal) in the CBSE, made repeated recommendations while processing the application of Ms. Rani in 2012. The selection was made under his supervision. He also allowed Ms. Rani's request for not verifying her credentials. The CBSE dismissed her from service in January.
The CBSE had also issued a charge sheet against Ms. Tomar for major penalty proceedings. She has not been reporting to duty and is not responding to the memorandums issued by the Board.
It is alleged that Mr. Tomar was appointed in 2014 on a forged engineering degree. He did not submit original mark-sheets to the CBSE despite repeated reminders and was terminated in January 2019.
Besides, the CBI has alleged that Mr. Rana had allowed overpayment of ₹26.92 lakh to KPMG for its outsourced services for the processing of applications seeking affiliation/upgrade of schools. During the inquiry, the CBSE was not able to provide the original file for the award of contract to KPMG.
Mr. Rana was suspended in May 2017 for alleged irregularities and manipulations in the recruitment process. He retired in July 7, 2017, while under suspension."
265,"The Central Bureau of Investigation on Friday arrested three Goods and Services Tax officers on the charge of bribery.
The arrested officers, two Superintendents and an Inspector, are all working in the office of the Commissioner, Central Goods and Service Tax, Central Excise in Belagavi, according to a press release from the CBI.
A few days ago, a Belagavi-based industrialist complained to the CBI that these officers had demanded a bribe of ₹ 20 lakh from him, stating that he had not paid GST dues amount.
The CBI sleuths, who flew into Belagavi, arrested the inspector when he demanded and received ₹ 5 lakh as first instalment of the bribe from the industrialist.
In a follow-up action, the two Superintendents were also caught. Searches at the office and residential premises of the accused in Belagavi and Ghaziabad in Uttar Pradesh are in progress.
All the arrested accused were produced before the jurisdictional court in Dharwad, the release put up on the CBI website said. The release did not mention the names of the accused or the industrialist."
266,"The Election Commission has announced the schedule for election to the Legislative Council Nizamabad Local Authorities’ Constituency.
The election will be held on October 9 and counting of votes would be on October 12. The entire election process should be completed by October 14.
The seat fell vacant after TRS MLC Bhupathi Reddy, who switched loyalties to the Congress before the previous Assembly elections, was disqualified. Chief Minister K. Chandrashekhar Rao’s daughter and former MP Kalvakuntla Kavita filed her nomination on behalf of the ruling party when the election schedule was announced earlier this year.
The election process had been put off following the novel coronavirus (COVID-19) outbreak. Ms. Kavita’s election to the post is a formality as the TRS has absolute majority in terms of elected members in different local bodies under the constituency."
267,"Coinciding with the nationwide farmer’s agitation, former Congress President Rahul Gandhi issued a three-minute video chat with farmers discussing the three farm Bills recently passed by Parliament.
Bharat Bandh updates: Protests against farm laws hit normal life in Punjab | Will the farm bills benefit farmers?
Mr. Gandhi held a video chat with 10 farmers from Haryana, Bihar and Maharashtra, discussing the new agricultural laws. The farmers expressed concerns that the laws will enable corporate houses to buy their produce below the Minimum Support Price rates. They also said the government should ensure any person buying produce below the MSP rate should be deemed illegal and should be made a punishable offence.
Explainer | Why are the Agriculture Bills being opposed
The farmers also feared that the new laws will help the big business houses to buy their land and reduce them to farm workers. The farmers also said these laws are like the return of the East India Company, to which Mr. Gandhi quipped, “There was an East India Company, now there is a West India company.”
“These laws will have to be opposed for the future of India. A farmer’s voice has immense strength; it was the farmer’s voice that helped us win our freedom. And farmer’s protests will get us freedom again,” he said.
Watch | Why are parties boycotting the rest of the Rajya Sabha Monsoon session?
Earlier in the day, Mr Gandhi in a tweet had said the micro, small and medium scale industries (MSMEs) were destroyed by an erroneous GST and now new agricultural laws will enslave our farmers."
